INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
UIS.CR.2.Q2,"Completion rate, lower secondary education, second quintile, (%)",_T,_T,_T,WB_EDSTATS_Q2,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",YEM,"Yemen, Rep","Completion rate, lower secondary education, second quintile, both sexes (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.53099060058594,,,,,,,35.22190856933594,,,,,,,,,,
UIS.CR.2.Q2.F.LPIA,"Completion rate, lower secondary education, second quintile, adjusted location parity index (LPIA)",_T,_T,_T,WB_EDSTATS_Q2,UIS.CR.2.F.LPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted location parity index (LPIA)",UGA,Uganda,"Completion rate, lower secondary education, second quintile, female, adjusted location parity index (LPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.6216599941253662,,,,,,,
UIS.CR.2.Q2.M,"Completion rate, lower secondary education, second quintile (%)",M,_T,_T,WB_EDSTATS_Q2,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",SYR,Syrian Arab Republic,"Completion rate, lower secondary education, second quintile, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.75065994262695,,,,,,,,,,,,,,,,,
UIS.CR.2.Q2.M.LPIA,"Completion rate, lower secondary education, second quintile, adjusted location parity index (LPIA)",_T,_T,_T,WB_EDSTATS_Q2,UIS.CR.2.M.LPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted location parity index (LPIA)",TUN,Tunisia,"Completion rate, lower secondary education, second quintile, male, adjusted location parity index (LPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.068539977073669,,,,,,0.9934499859809875,,,,,
UIS.CR.2.Q2.M.LPIA,"Completion rate, lower secondary education, second quintile, adjusted location parity index (LPIA)",_T,_T,_T,WB_EDSTATS_Q2,UIS.CR.2.M.LPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted location parity index (LPIA)",TUV,Tuvalu,"Completion rate, lower secondary education, second quintile, male, adjusted location parity index (LPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
UIS.CR.2.Q3.F,"Completion rate, lower secondary education, middle quintile (%)",F,_T,_T,WB_EDSTATS_Q3,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",TUN,Tunisia,"Completion rate, lower secondary education, middle quintile, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.07901763916016,,,,,,85.52130126953125,,,,,
UIS.CR.2.Q3.GPIA,"Completion rate, lower secondary education, middle quintile, adjusted gender parity index (GPIA)",_T,_T,_T,WB_EDSTATS_Q3,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",STP,Sao Tome and Principe,"Completion rate, lower secondary education, middle quintile, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4598200023174286,,,,,0.7508500218391418,,,,,0.8556100130081177,,,,
UIS.CR.2.Q3.LPIA,"Completion rate, lower secondary education, middle quintile, adjusted location parity index (LPIA)",_T,_T,_T,WB_EDSTATS_Q3,UIS.CR.2.LPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted location parity index (LPIA)",NAM,Namibia,"Completion rate, lower secondary education, middle quintile, adjusted location parity index (LPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.014089941978455,,,,,,0.6554700136184692,,,,,,,,,,
UIS.CR.2.Q3.M,"Completion rate, lower secondary education, middle quintile (%)",M,_T,_T,WB_EDSTATS_Q3,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",PHL,Philippines,"Completion rate, lower secondary education, middle quintile, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.28000259399414,60.27529144287109,,,,65.61000061035156,,,,,66.48999786376953,,,,81.87024688720703,80.87999725341797,,,,82.19754028320312,
UIS.CR.2.Q4,"Completion rate, lower secondary education, fourth quintile, (%)",_T,_T,_T,WB_EDSTATS_Q4,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",RUS,Russian Federation,"Completion rate, lower secondary education, fourth quintile, both sexes (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,100.0,,,,,
UIS.CR.2.Q4.F.LPIA,"Completion rate, lower secondary education, fourth quintile, adjusted location parity index (LPIA)",_T,_T,_T,WB_EDSTATS_Q4,UIS.CR.2.F.LPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted location parity index (LPIA)",JOR,Jordan,"Completion rate, lower secondary education, fourth quintile, female, adjusted location parity index (LPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.038359999656677,,,,,,,,,,1.016890048980713,1.018,,,,,
UIS.CR.2.Q4.GPIA,"Completion rate, lower secondary education, fourth quintile, adjusted gender parity index (GPIA)",_T,_T,_T,WB_EDSTATS_Q4,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",LCA,St Lucia,"Completion rate, lower secondary education, fourth quintile, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
UIS.CR.2.Q4.LPIA,"Completion rate, lower secondary education, fourth quintile, adjusted location parity index (LPIA)",_T,_T,_T,WB_EDSTATS_Q4,UIS.CR.2.LPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted location parity index (LPIA)",NPL,Nepal,"Completion rate, lower secondary education, fourth quintile, adjusted location parity index (LPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.052119970321655,,,,1.070729970932007,,,1.031180024147034,,0.7829899787902832,,,0.8662700057029724,,0.8627499938011169,,
UIS.CR.2.Q4.M,"Completion rate, lower secondary education, fourth quintile (%)",M,_T,_T,WB_EDSTATS_Q4,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",TZA,Tanzania,"Completion rate, lower secondary education, fourth quintile, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.090920448303223,,,,,,13.50302028656006,,,,,28.50770950317383,,,,,,,,
UIS.CR.2.Q5.F.LPIA,"Completion rate, lower secondary education, richest quintile, adjusted location parity index (LPIA)",_T,_T,_T,WB_EDSTATS_Q5,UIS.CR.2.F.LPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted location parity index (LPIA)",LKA,Sri Lanka,"Completion rate, lower secondary education, richest quintile, female, adjusted location parity index (LPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01826000213623,,,,,,,,,,,,,,,,,
UIS.CR.2.Q5.LPIA,"Completion rate, lower secondary education, richest quintile, adjusted location parity index (LPIA)",_T,_T,_T,WB_EDSTATS_Q5,UIS.CR.2.LPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted location parity index (LPIA)",LKA,Sri Lanka,"Completion rate, lower secondary education, richest quintile, adjusted location parity index (LPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.014350056648254,,,,,,,,,,,,,,,,,
UIS.CR.2.Q5.LPIA,"Completion rate, lower secondary education, richest quintile, adjusted location parity index (LPIA)",_T,_T,_T,WB_EDSTATS_Q5,UIS.CR.2.LPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted location parity index (LPIA)",TUV,Tuvalu,"Completion rate, lower secondary education, richest quintile, adjusted location parity index (LPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
UIS.CR.2.Q5.M,"Completion rate, lower secondary education, richest quintile (%)",M,_T,_T,WB_EDSTATS_Q5,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",MNG,Mongolia,"Completion rate, lower secondary education, richest quintile, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.42228698730467,,,,98.80999755859376,,,,99.43182373046876,,,,99.85856628417967,,,,,
UIS.CR.2.RUR,"Completion rate, lower secondary education (%)",_T,RUR,_T,_Z,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",LTU,Lithuania,"Completion rate, lower secondary education, rural, both sexes (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.63,96.73999786376952,98.12999725341795,99.20999908447266,98.63999938964844,98.40999603271484,98.83000183105467,98.68000030517578,97.16999816894533,97.22000122070312,98.25,97.59999847412108,97.41999816894533,98.50999450683594,99.33000183105467,98.87999725341795,98.87999725341795,,
UIS.CR.2.RUR,"Completion rate, lower secondary education (%)",_T,RUR,_T,_Z,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",SEN,Senegal,"Completion rate, lower secondary education, rural, both sexes (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.599999904632568,,4.503920078277588,,,1.234619975090027,,,,,,4.382349967956543,,,12.23999977111816,12.89371013641357,13.89766025543213,15.57017040252686,16.94623947143555,13.13271999359131,,,,
UIS.CR.2.RUR.F,"Completion rate, lower secondary education, rural (%)",F,RUR,_T,_Z,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",BTN,Bhutan,"Completion rate, lower secondary education, rural, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.98674964904785,,,,,,,,,,,,,
UIS.CR.2.RUR.GPIA,"Completion rate, lower secondary education adjusted gender parity index (GPIA)",_T,RUR,_T,_Z,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",NGA,Nigeria,"Completion rate, lower secondary education, rural, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8107399940490723,,,,0.9260500073432922,0.6732100248336792,,0.9206299781799316,0.864549994468689,,0.6061000227928162,,,0.7977499961853027,,0.7971600294113159,0.9723399877548218,,0.9095900058746338,,
UIS.CR.2.RUR.GPIA,"Completion rate, lower secondary education adjusted gender parity index (GPIA)",_T,RUR,_T,_Z,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",YEM,"Yemen, Rep","Completion rate, lower secondary education, rural, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3005299866199493,,,,,,,0.5339400172233582,,,,,,,,,,
UIS.CR.2.RUR.M,"Completion rate, lower secondary education, rural (%)",M,RUR,_T,_Z,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",FIN,Finland,"Completion rate, lower secondary education, rural, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.41999816894533,99.2699966430664,100.0,99.26000213623048,99.72000122070312,100.0,100.0,100.0,98.95999908447266,100.0,98.79999542236328,99.18000030517578,100.0,100.0,99.08999633789064,100.0,,
UIS.CR.2.RUR.M.WPIA,"Completion rate, lower secondary education adjusted wealth parity index (WPIA)",_T,RUR,_T,_Z,UIS.CR.2.M.WPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted wealth parity index (WPIA)",MWI,Malawi,"Completion rate, lower secondary education, rural, male, adjusted wealth parity index (WPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1915699988603592,,,,,,0.133530005812645,,,,,0.1698199957609177,0.17281,,,,0.094200000166893,,,
UIS.CR.2.RUR.Q1.GPIA,"Completion rate, lower secondary education, rural adjusted gender parity index (GPIA)",_T,RUR,_T,WB_EDSTATS_Q1,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",DOM,Dominican Republic,"Completion rate, lower secondary education, rural, poorest quintile, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99829,0.97187,1.41999,1.40036,1.00632,1.27977,1.30105,1.24865996837616,1.30412,1.36569,1.13915,1.41881,1.08791,1.19173002243042,1.277830004692078,1.34434,1.13857,1.15068,0.9924,1.331560015678406,,,,
UIS.CR.2.RUR.Q1.GPIA,"Completion rate, lower secondary education, rural adjusted gender parity index (GPIA)",_T,RUR,_T,WB_EDSTATS_Q1,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",GHA,Ghana,"Completion rate, lower secondary education, rural, poorest quintile, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66211998462677,,,,,0.9777299761772156,,,1.233919978141785,1.23392,,,,,
UIS.CR.2.RUR.Q1.GPIA,"Completion rate, lower secondary education, rural adjusted gender parity index (GPIA)",_T,RUR,_T,WB_EDSTATS_Q1,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",MDV,Maldives,"Completion rate, lower secondary education, rural, poorest quintile, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27209997177124,,,,,,,,,1.170940041542053,,,,,,
UIS.CR.2.RUR.Q1.M,"Completion rate, lower secondary education poorest quintile (%)",M,RUR,_T,WB_EDSTATS_Q1,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",PRY,Paraguay,"Completion rate, lower secondary education, rural, poorest quintile, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.70999908447266,12.89000034332275,33.72999954223633,30.85000038146973,23.86000061035156,36.86000061035156,21.27000045776367,26.28000068664551,48.72999954223633,57.20999908447266,32.81000137329102,51.36999893188477,60.29999923706055,58.18999862670898,61.16999816894531,57.86999893188477,54.13999938964844,72.70999908447266,66.05000305175781,61.63000106811523,59.63000106811523,84.05999755859375,
UIS.CR.2.RUR.Q2.GPIA,"Completion rate, lower secondary education second quintile, adjusted gender parity index (GPIA)",_T,RUR,_T,WB_EDSTATS_Q2,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",MEX,Mexico,"Completion rate, lower secondary education, rural, second quintile, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04056,,0.93371,,0.8071,,1.15856,,0.94573,,1.01338,,1.01931,,1.02032,0.8648300170898438,0.86931,,0.97529,,,,,
UIS.CR.2.RUR.Q3,"Completion rate, lower secondary education middle quintile, (%)",_T,RUR,_T,WB_EDSTATS_Q3,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",CRI,Costa Rica,"Completion rate, lower secondary education, rural, middle quintile, both sexes (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.17000007629395,26.76999855041504,34.84999847412109,37.7599983215332,33.22000122070313,37.66999816894531,40.45999908447266,45.38000106811523,44.22999954223633,48.56000137329102,51.95999908447266,51.97000122070313,55.7599983215332,61.95999908447266,57.02000045776367,67.58000183105469,64.0999984741211,66.06999969482422,70.58999633789062,70.66000366210938,79.19999694824219,79.73999786376953,92.5,
UIS.CR.2.RUR.Q3,"Completion rate, lower secondary education middle quintile, (%)",_T,RUR,_T,WB_EDSTATS_Q3,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",MDA,Moldova,"Completion rate, lower secondary education, rural, middle quintile, both sexes (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.09249114990234,,,,,,,99.25360107421876,,,,,,,,,,,
UIS.CR.2.RUR.Q4.M,"Completion rate, lower secondary education fourth quintile (%)",M,RUR,_T,WB_EDSTATS_Q4,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",GMB,"Gambia, The","Completion rate, lower secondary education, rural, fourth quintile, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.15806007385254,,,,7.5801100730896,,,34.30332183837891,,,,,0.0,,0.0,,,
UIS.CR.2.RUR.Q5,"Completion rate, lower secondary education richest quintile, (%)",_T,RUR,_T,WB_EDSTATS_Q5,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",CUB,Cuba,"Completion rate, lower secondary education, rural, richest quintile, both sexes (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,83.51000213623047,,,,
UIS.CR.2.RUR.Q5.GPIA,"Completion rate, lower secondary education richest quintile, adjusted gender parity index (GPIA)",_T,RUR,_T,WB_EDSTATS_Q5,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",COM,Comoros,"Completion rate, lower secondary education, rural, richest quintile, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8365600109100342,,,,,,,,,,1.296309947967529,
UIS.CR.2.RUR.WPIA,"Completion rate, lower secondary education adjusted wealth parity index (WPIA)",_T,RUR,_T,_Z,UIS.CR.2.WPIA,SHARE,NUMBER,"Completion rate, lower secondary education adjusted wealth parity index (WPIA)",MEX,Mexico,"Completion rate, lower secondary education, rural, adjusted wealth parity index (WPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347900003194809,,0.595300018787384,,0.5066999793052673,,0.6079999804496765,,0.6722999811172485,,0.6014999747276306,,0.7074000239372253,,0.7132999897003174,0.0,0.7559999823570251,,0.803600013256073,,0.8406999707221985,,0.8447999954223633,
UIS.CR.2.URB,"Completion rate, lower secondary education, urban, (%)",_T,URB,_T,_Z,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",TGO,Togo,"Completion rate, lower secondary education, urban, both sexes (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.92000007629395,,,,,,45.5595817565918,,,,41.01927947998047,,,,40.03757858276367,,,60.63901901245117,,,,,,
UIS.CR.2.URB.F,"Completion rate, lower secondary education, urban (%)",F,URB,_T,_Z,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",KHM,Cambodia,"Completion rate, lower secondary education, urban, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.70000076293945,,,,,38.00827026367188,,,45.3885383605957,,51.78536987304688,,,,65.05888366699219,,,,,69.94772338867188,69.95000457763672,64.90750122070312,,
UIS.CR.2.URB.F,"Completion rate, lower secondary education, urban (%)",F,URB,_T,_Z,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",MNE,Montenegro,"Completion rate, lower secondary education, urban, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.87857818603516,,,,,97.18292236328124,,,,,
UIS.CR.2.URB.F,"Completion rate, lower secondary education, urban (%)",F,URB,_T,_Z,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",SLE,Sierra Leone,"Completion rate, lower secondary education, urban, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9340705871582,,,,35.6221809387207,,37.61000061035156,,,55.74026870727539,,,,63.28340148925781,,62.21660995483398,,,,
UIS.CR.2.URB.F.WPIA,"Completion rate, lower secondary education, urban, adjusted wealth parity index (WPIA)",_T,URB,_T,_Z,UIS.CR.2.F.WPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted wealth parity index (WPIA)",ALB,Albania,"Completion rate, lower secondary education, urban, female, adjusted wealth parity index (WPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.8093400001525879,,,,,,
UIS.CR.2.URB.F.WPIA,"Completion rate, lower secondary education, urban, adjusted wealth parity index (WPIA)",_T,URB,_T,_Z,UIS.CR.2.F.WPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted wealth parity index (WPIA)",MDV,Maldives,"Completion rate, lower secondary education, urban, female, adjusted wealth parity index (WPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,
UIS.CR.2.URB.F.WPIA,"Completion rate, lower secondary education, urban, adjusted wealth parity index (WPIA)",_T,URB,_T,_Z,UIS.CR.2.F.WPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted wealth parity index (WPIA)",RWA,Rwanda,"Completion rate, lower secondary education, urban, female, adjusted wealth parity index (WPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.275160014629364,,,,,0.4719699919223785,,,,,,,,
UIS.CR.2.URB.M,"Completion rate, lower secondary education, urban (%)",M,URB,_T,_Z,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",BIH,Bosnia and Herzegovina,"Completion rate, lower secondary education, urban, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0385284423828,,,,,,,,,,,
UIS.CR.2.URB.M.WPIA,"Completion rate, lower secondary education, urban, adjusted wealth parity index (WPIA)",_T,URB,_T,_Z,UIS.CR.2.M.WPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted wealth parity index (WPIA)",MLI,Mali,"Completion rate, lower secondary education, urban, male, adjusted wealth parity index (WPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,
UIS.CR.2.URB.Q1.F,"Completion rate, lower secondary education, urban, poorest quintile (%)",F,URB,_T,WB_EDSTATS_Q1,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",UZB,Uzbekistan,"Completion rate, lower secondary education, urban, poorest quintile, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,98.25,98.24610900878906,
UIS.CR.2.URB.Q2.F,"Completion rate, lower secondary education, urban, second quintile (%)",F,URB,_T,WB_EDSTATS_Q2,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",LSO,Lesotho,"Completion rate, lower secondary education, urban, second quintile, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,51.74261093139648,,,,,
UIS.CR.2.URB.Q2.GPIA,"Completion rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)",_T,URB,_T,WB_EDSTATS_Q2,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",KEN,Kenya,"Completion rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,1.254209995269775,,,,,,,,1.082249999046326,
UIS.CR.2.URB.Q2.GPIA,"Completion rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)",_T,URB,_T,WB_EDSTATS_Q2,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",LAO,Lao PDR,"Completion rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.949679970741272,,,,,0.8394100069999695,,,,,,
UIS.CR.2.URB.Q2.GPIA,"Completion rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)",_T,URB,_T,WB_EDSTATS_Q2,UIS.CR.2.GPIA,SHARE,NUMBER,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",MOZ,Mozambique,"Completion rate, lower secondary education, urban, second quintile, adjusted gender parity index (GPIA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,
UIS.CR.2.URB.Q3.F,"Completion rate, lower secondary education, urban, middle quintile (%)",F,URB,_T,WB_EDSTATS_Q3,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",HTI,Haiti,"Completion rate, lower secondary education, urban, middle quintile, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.94127082824707,14.22999954223633,,,,,,28.18383979797363,,,,,30.24299049377441,,,,,,
UIS.CR.2.URB.Q3.M,"Completion rate, lower secondary education, urban, middle quintile (%)",M,URB,_T,WB_EDSTATS_Q3,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",DOM,Dominican Republic,"Completion rate, lower secondary education, urban, middle quintile, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2699966430664,69.87999725341797,76.80000305175781,71.55999755859375,76.41000366210938,70.02999877929688,74.63999938964844,81.98999786376953,75.05999755859375,83.83000183105469,76.0,73.58999633789062,81.33000183105469,77.80999755859375,77.58000183105469,85.33000183105469,84.48999786376953,84.7300033569336,85.91000366210938,84.9800033569336,84.98999786376953,90.83000183105467,85.70999908447266,
UIS.CR.2.URB.Q3.M,"Completion rate, lower secondary education, urban, middle quintile (%)",M,URB,_T,WB_EDSTATS_Q3,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",MNE,Montenegro,"Completion rate, lower secondary education, urban, middle quintile, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,100.0,,,,,
UIS.CR.2.URB.Q3.M,"Completion rate, lower secondary education, urban, middle quintile (%)",M,URB,_T,WB_EDSTATS_Q3,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",NER,Niger,"Completion rate, lower secondary education, urban, middle quintile, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,
UIS.CR.2.URB.Q4.F,"Completion rate, lower secondary education, urban, fourth quintile (%)",F,URB,_T,WB_EDSTATS_Q4,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",BDI,Burundi,"Completion rate, lower secondary education, urban, fourth quintile, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,36.20001983642578,,,,,,
UIS.CR.2.URB.Q5,"Completion rate, lower secondary education, urban, richest quintile, (%)",_T,URB,_T,WB_EDSTATS_Q5,UIS.CR.2,SHARE,NUMBER,"Completion rate, lower secondary education, (%)",LKA,Sri Lanka,"Completion rate, lower secondary education, urban, richest quintile, both sexes (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.08468627929688,,,,,,,,,,,,,,,,,
